AVG_BALANCE,TENURE,NUM_TRANS,ACCESSORIES,APPLIANCES,CULTURE,GAS,BOOKS,APPAREL,FITNESS,EDUCATION,ENTERTAINMENT,FOOD,HEALTH,HOME_GARDEN,TELCOS,TRAVEL,PURCHASES_AMOUNT,Loyalty
3044.993177,12,11.006688,0.0,2168.506639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.506639,1
81.927748,12,0.9852540000000001,0.0,1779.3545609999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.3545609999999,0
1345.213562,12,2.83055,0.0,0.0,0.0,163.266045,0.0,1590.748309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.014354,0
3193.925166,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
284.286718,7,11.757291,0.0,189.991137,0.0,628.363089,0.0,0.0,0.0,0.0,0.0,29.831540000000004,58.269684,61.882977000000004,0.0,0.0,968.3384269999999,0
2940.954633,12,11.147041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.41331,0.0,1365.41331,0
6415.909843,12,21.769184,0.0,2001.409223,0.0,0.0,0.0,3598.115022,0.0,0.0,520.3602179999999,0.0,0.0,0.0,0.0,0.0,6119.884464,1
1653.4653,11,22.671116,0.0,7239.0776989999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7239.0776989999995,1
1937.8492390000001,12,9.873951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.158641,152.523664,0.0,580.6823049999999,0
3648.384357,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8275.392104,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7286.240872,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2522.233629,12,11.931087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.078444,0.0,722.078444,0
1628.006423,12,0.90641,0.0,1554.120709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.120709,0
2919.306962,12,0.923133,0.0,0.0,0.0,1190.7058949999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.7058949999998,0
3921.927396,12,27.321823,0.0,0.0,0.0,3008.883013,147.984942,0.0,0.0,0.0,0.0,808.1048599999999,0.0,0.0,0.0,0.0,3964.9728159999995,1
